CommonName,Long_1,Fire_K,Seed_2,Snow_K,WL__6,Poll_Abiotic,Disp_Wind,Disp_Invert_ext_,Glycophyte
sp0530,1,1,0,1,0,0,1,0,0
sp0531,0,1,0,1,0,1,1,0,0
sp0532,0,0,1,1,0,0,1,0,0
sp0533,0,0,1,0,0,0,1,0,0
sp0534,0,0,1,0,0,0,0,0,1
sp0535,0,0,1,0,0,0,0,0,1
sp0536,1,1,0,1,0,0,1,0,0
sp0537,0,0,1,0,0,0,0,0,0
sp0538,0,0,1,0,0,0,1,0,0
sp0539,1,1,0,0,0,0,1,0,0
sp0540,0,1,0,0,0,1,0,1,1
sp0541,0,0,1,1,1,0,0,1,1
sp0542,0,0,0,0,0,0,0,1,0
sp0543,0,0,1,0,0,0,0,1,1
sp0544,0,0,1,0,0,0,1,0,1
sp0545,0,0,1,0,1,0,0,1,1
sp0546,0,0,1,0,0,0,0,1,0
sp0547,0,0,0,0,0,0,0,1,1
sp0548,0,0,1,0,0,0,0,1,0
sp0549,0,0,0,0,0,0,0,1,0
sp0550,0,0,1,0,0,0,1,0,0
sp0551,0,0,0,0,0,0,1,0,0
sp0552,0,1,0,0,1,0,0,1,1
sp0553,0,0,1,0,0,0,1,0,0
sp0554,0,0,1,0,0,0,1,0,0
sp0555,0,1,0,0,1,0,0,1,0
sp0556,0,0,1,0,0,0,0,1,0
sp0557,0,0,0,0,0,1,0,0,0
sp0558,0,0,1,0,0,0,1,0,0
sp0559,0,0,0,0,0,0,0,1,0
sp0560,0,0,1,0,0,0,1,0,0
sp0561,0,0,0,0,0,0,0,1,0
sp0562,1,1,0,1,1,0,0,0,0
sp0563,0,0,0,1,0,1,0,0,0
sp0564,0,0,0,0,1,0,0,1,0
sp0565,0,1,0,0,1,0,0,1,1
sp0566,0,0,0,1,0,0,0,0,0
sp0567,0,0,1,0,0,0,1,0,0
sp0568,1,1,0,1,0,0,1,0,0
sp0569,0,0,0,1,0,0,0,1,0
sp0570,0,0,0,0,0,0,0,0,0
sp0571,0,0,1,0,1,0,1,0,0
sp0572,0,0,1,0,0,1,1,0,0
sp0573,0,0,0,1,0,1,0,0,0
sp0574,0,0,0,1,1,1,0,0,0
sp0575,0,1,1,0,0,0,1,0,0
sp0576,0,0,0,1,0,0,0,1,0
sp0577,0,0,1,1,0,0,0,1,0
sp0578,0,0,0,1,1,0,0,1,0
sp0579,1,1,0,0,0,0,0,1,0
sp0580,0,0,0,1,0,1,0,0,0
sp0581,1,1,0,1,0,0,0,0,0
sp0582,0,1,0,0,0,0,0,1,0
sp0583,1,1,0,1,1,1,1,0,0
sp0584,0,1,0,0,1,1,0,1,0
sp0585,0,1,0,1,0,0,0,0,0
sp0586,0,0,0,0,0,0,1,0,0
sp0587,0,0,0,1,1,0,1,0,0
sp0588,0,0,0,1,1,0,1,0,0
sp0589,0,1,0,0,0,0,0,0,0
sp0590,0,1,0,0,0,0,0,1,1
